title,type,release_year,runtime,imdb_score
Taxi Driver,MOVIE,1976,113,8.3
Monty Python and the Holy Grail,MOVIE,1975,91,8.200000000000000
Life of Brian,MOVIE,1979,94,8.0
The Exorcist,MOVIE,1973,133,8.1
Monty Python's Flying Circus,SHOW,1969,30,8.8
Dirty Harry,MOVIE,1971,102,7.7
My Fair Lady,MOVIE,1964,170,7.8
The Blue Lagoon,MOVIE,1980,104,5.8
Bonnie and Clyde,MOVIE,1967,110,7.7
The Professionals,MOVIE,1966,117,7.3
The Guns of Navarone,MOVIE,1961,158,7.5
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,100,7.6
Richard Pryor: Live in Concert,MOVIE,1979,78,8.1
The Long Riders,MOVIE,1980,99,6.9
White Christmas,MOVIE,1954,115,7.5
Cairo Station,MOVIE,1958,77,7.5
The Queen,MOVIE,1968,68,7.2
Hitler: A Career,MOVIE,1977,150,7.5
FTA,MOVIE,1972,97,6.2
Saladin the Victorious,MOVIE,1963,186,7.6
Singapore,MOVIE,1960,158,6.4
Dark Waters,MOVIE,1956,120,6.7
Alexandriaâ€¦ Why?,MOVIE,1979,133,7.2
Raya and Sakina,MOVIE,1953,105,6.8
No Longer Kids,MOVIE,1979,235,9.0
Amrapali,MOVIE,1966,120,6.7
Dostana,MOVIE,1980,161,2.1
The Blazing Sun,MOVIE,1954,100,7.4
Monty Python's Fliegender Zirkus,SHOW,1972,43,8.1
The Return of the Prodigal Son,MOVIE,1976,124,7.2
Prince,MOVIE,1969,152,6.9
Manoranjan,MOVIE,1974,162,6.5
"Beirut, Oh Beirut",MOVIE,1975,110,6.5
We Are All for the Fatherland,MOVIE,1979,74,6.2
Whispers,MOVIE,1980,93,7.8
Lal Patthar,MOVIE,1971,153,6.2
Ujala,MOVIE,1959,142,6.7
Alibaba Aur 40 Chor,MOVIE,1979,138,6.2
Professor,MOVIE,1962,163,6.8
Chadi Jawani Budhe Nu,MOVIE,1976,135,4.6
Bandie,MOVIE,1978,141,4.2
Khoon Khoon,MOVIE,1973,131,5.1
Top Gun,MOVIE,1986,110,6.9
Seinfeld,SHOW,1989,24,8.9
Stand by Me,MOVIE,1986,89,8.1
Once Upon a Time in America,MOVIE,1984,229,8.3
When Harry Met Sally...,MOVIE,1989,96,7.7
Teenage Mutant Ninja Turtles,MOVIE,1990,93,6.7
Full Metal Jacket,MOVIE,1987,116,8.3
Christine,MOVIE,1983,90,6.7
A Nightmare on Elm Street,MOVIE,1984,91,7.4
Knight Rider,SHOW,1982,51,6.9
Awakenings,MOVIE,1990,120,7.8
Thomas & Friends,SHOW,1984,10,6.5
Annie,MOVIE,1982,127,6.6
Pet Sematary,MOVIE,1989,103,6.5
Saved by the Bell,SHOW,1989,23,7.1
She's Gotta Have It,MOVIE,1986,84,6.7
Eddie Murphy Raw,MOVIE,1987,93,7.6
Endless Love,MOVIE,1981,116,4.9
Wheel of Fortune,SHOW,1983,26,6.7
Major Dad,SHOW,1989,24,6.4
Fireman Sam,SHOW,1987,10,6.1
Danger Mouse,SHOW,1981,15,7.4
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,133,7.2
Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,120,7.3
Sam Kinison: Breaking the Rules,MOVIE,1987,50,7.2
Tim Allen: Men Are Pigs,MOVIE,1990,30,6.0
Monty Python Live at the Hollywood Bowl,MOVIE,1982,77,7.9
The George McKenna Story,MOVIE,1988,100,6.0
Unspeakable Acts,MOVIE,1990,100,6.0
Waiting for the Hearse,MOVIE,1985,87,8.0
Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,7.7
Agneepath,MOVIE,1990,174,7.6
Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,8.1
Too Young The Hero,MOVIE,1988,100,6.7
Adam: His Song Continues,MOVIE,1986,100,7.0
Disco Dancer,MOVIE,1982,134,6.5
The Ryan White Story,MOVIE,1989,102,7.2
In Defense of a Married Man,MOVIE,1990,94,5.6
Dil,MOVIE,1990,172,6.6
Bye Bye London,MOVIE,1982,170,8.700000000000000
Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,7.1
"Alexandria, Again and Forever",MOVIE,1989,105,6.5
Strange Voices,MOVIE,1987,100,6.3
Aakhri Adaalat,MOVIE,1988,148,5.1
A Stoning in Fulham County,MOVIE,1988,120,5.8
Muqaddar Ka Faisla,MOVIE,1987,172,4.8
Sohni Mahiwal,MOVIE,1984,160,6.1
The Little Wars,MOVIE,1982,108,6.3
Duniya,MOVIE,1984,170,6.2
High Risk,SHOW,1988,50,3.8
Pyar Ke Do Pal,MOVIE,1986,153,6.1
Jaal,MOVIE,1986,159,5.2
Mujrim,MOVIE,1989,162,5.4
An Egyptian Story,MOVIE,1982,129,7.3
Ek Jaan Hain Hum,MOVIE,1983,151,6.3
The Quick and the Dead,MOVIE,1995,107,6.5
Survivor,SHOW,2000,48,7.4
Stargate SG-1,SHOW,1997,44,8.4
PokÃ©mon,SHOW,1997,22,7.6
Forrest Gump,MOVIE,1994,142,8.8
Happy Gilmore,MOVIE,1996,92,7.0
One Piece,SHOW,1999,23,8.8
Saving Private Ryan,MOVIE,1998,169,8.6
Cowboy Bebop,SHOW,1998,25,8.9
Star Trek: Deep Space Nine,SHOW,1993,47,8.1
The Challenge,SHOW,1998,40,7.8
Gattaca,MOVIE,1997,106,7.8
Gilmore Girls,SHOW,2000,46,8.200000000000000
Blade,MOVIE,1998,120,7.1
You've Got Mail,MOVIE,1998,119,6.7
Starship Troopers,MOVIE,1997,129,7.3
Neon Genesis Evangelion,SHOW,1995,24,8.5
The Magic School Bus,SHOW,1994,26,7.8
Donnie Brasco,MOVIE,1997,127,7.7
Power Rangers,SHOW,1993,22,6.5
U.S. Marshals,MOVIE,1998,126,6.5
Adventures of Sonic the Hedgehog,SHOW,1993,22,6.2
Wild Things,MOVIE,1998,108,6.6
Last Action Hero,MOVIE,1993,130,6.4
Seven Years in Tibet,MOVIE,1997,136,7.1
The Devil's Advocate,MOVIE,1997,144,7.5
A River Runs Through It,MOVIE,1992,123,7.2
"Girl, Interrupted",MOVIE,1999,127,7.3
Goosebumps,SHOW,1995,22,7.6
Yu-Gi-Oh!,SHOW,1998,22,7.2
InuYasha,SHOW,2000,25,7.9
Any Given Sunday,MOVIE,1999,162,6.9
Menace II Society,MOVIE,1993,97,7.5
Desperado,MOVIE,1995,104,7.1
The Mask of Zorro,MOVIE,1998,136,6.8
The Patriot,MOVIE,2000,165,7.2
Road Trip,MOVIE,2000,93,6.5
Free Willy,MOVIE,1993,112,6.0
3 Ninjas Kick Back,MOVIE,1994,93,4.5
